method,en,vi,zh,target,specificity,stability,score
gap_rate_top_0_5perc_LRP_kur_res_zscore_vi,-0.014701282452298514,0.35128468653648515,0.02857142857142847,vi,50.653277476177834,0.16328642315555789,43.543255098580595
gaprate_th_0.99_selected_LRP_kur_res_vi,0.12877697841726565,0.6369989722507707,-0.08571428571428541,vi,29.584711796694865,0.3030604176367258,22.704021545179536
gap_rate_top_0_5perc_LRP_kur_res_vi,0.11449126413155142,0.23699897225077038,-0.07142857142857117,vi,11.00715479238113,0.12679899820117704,9.768516665308509
gap_rate_bottom_0_0_1perc_LRP_kur_res_zh,-0.08550873586844787,0.051284686536484436,-0.1701863354037263,zh,9.945429496507664,0.09124579127922834,9.113830794113756
mask_vi,0.05818874312314826,-0.21144823271817348,-0.18571428571428594,vi,3.3161712012128297,0.12149760959940581,2.956913303094201
gap_rate_top_1perc_LRP_kur_res_zscore_vi,0.22877697841726619,0.6655704008221992,0.14865424430641827,vi,3.5268431729138014,0.22715889183189697,2.87399064325643
gap_rate_top_1perc_LRP_kur_res_vi,0.21449126413155195,0.6798561151079134,0.22857142857142865,vi,3.0688933896528274,0.21613282023824518,2.5234853780622575
bottom_0_0_1perc_LRP_kur_res_vi,0.21449126413155195,0.15128468653648497,-0.09999999999999964,vi,2.642728443200208,0.13582824953843647,2.3266972310946894
gap_rate_top_0_0_1perc_LRP_kur_res_en,0.3573484069886943,0.3369989722507709,-0.042857142857142705,en,2.429769226822814,0.18404988750228632,2.0520834911342556
gap_rate_bottom_0_0_1perc_LRP_kur_res_vi,0.157348406988695,0.04750317393144243,-0.11428571428571388,vi,2.2062323039929574,0.11156797400711267,1.9847929731545506
gap_rate_bottom_0_5perc_LRP_kur_res_zscore_zh,0.11449126413155142,-0.19157245632065756,-0.07142857142857117,zh,1.853333814211667,0.12590814081381088,1.6460790601194781
gap_rate_top_0_5perc_LRP_kur_res_zscore_zh,0.014071096064323996,0.0798561151079138,0.07142857142857117,zh,1.520934249570074,0.02922816792675807,1.4777425423886248
gap_rate_bottom_0_5perc_LRP_kur_res_vi,1.2171827755187152,3.508427543679342,2.1428571428571432,vi,2.0883249056707403,0.9411256936699999,1.0758318806869418
gap_rate_bottom_1perc_LRP_kur_res_vi,1.3287769784172658,3.738679644519678,2.2285714285714286,vi,2.1019474033835257,0.9942997388721008,1.053977675678936
gaprate_th_0.9_selected_LRP_kur_res_vi,1.34306269270298,3.03699897225077,2.071428571428571,vi,1.7788881092564903,0.6938029796710505,1.0502331915852243
gap_rate_top_1perc_LRP_kur_res_en,-0.043686789698675454,0.38275466583255113,-0.44554865424430634,en,1.391432674304342,0.33820303948007113,1.0397769495763154
gap_rate_top_0_1_perc_LRP_kur_res_zscore_vi,0.028776978417266008,-0.023042435616724255,-0.07142857142857117,vi,1.0804964032916986,0.040916747494197374,1.0380238437826863
gaprate_th_0.95_selected_LRP_kur_res_vi,0.34306269270298007,1.1798561151079134,1.2714285714285714,vi,1.4615825142005248,0.4177282411806215,1.0309327780501736
gap_rate_bottom_1perc_LRP_kur_res_zscore_vi,1.4490668334897299,3.826914938637325,2.438509316770187,vi,1.96879226079908,0.9752964341223808,0.9967072419050912
gap_rate_bottom_0_5perc_LRP_kur_res_zscore_vi,1.4144912641315521,3.585653216557189,2.442857142857143,vi,1.859128509869351,0.8867834177678335,0.985342828626722
gap_rate_top_1perc_LRP_kur_res_zscore_zh,0.07163412127440871,0.5798561151079138,0.3285714285714283,zh,1.0086764164239732,0.20748503790364317,0.8353531387644947
gaprate_th_0.9_selected_LRP_kur_res_en,6.999791471170889,6.179856115107913,5.742857142857143,en,1.1741943814261713,0.5210188731454591,0.7719788374472588
gap_rate_bottom_1perc_LRP_kur_res_zscore_zh,0.17163412127440925,0.6084275436793423,0.2999999999999998,zh,0.7691699407535605,0.18330116153395692,0.6500204392231451
bottom_0_5perc_LRP_kur_res_zh,0.10230639018197163,1.9914503180064642,1.185714285714286,zh,1.1326189616500404,0.7740117715062257,0.6384506460678046
gaprate_th_0.95_selected_LRP_kur_res_en,5.0573484069886945,5.965570400822199,4.785714285714286,en,0.9407895977145813,0.5045033573592685,0.6253157183815609
gap_rate_top_0_5perc_LRP_kur_res_zh,0.10020554984583718,0.9798561151079133,0.4285714285714288,zh,0.7936054663207144,0.36293924696485586,0.5822750119552306
gap_rate_top_0_0_1perc_LRP_kur_res_zscore_vi,0.25734840698869466,0.06557040082219956,-0.05714285714285694,vi,0.6550307353855348,0.12941840095195808,0.5799717224665598
gaprate_th_0.95_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
gaprate_th_0.99_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
gaprate_th_0.9_selected_LRP_kur_res_zh,7.028776978417266,6.179856115107913,5.742857142857143,zh,0.8695611564797961,0.5338772806759059,0.5669039938427293
